id,St_Racuna,Sifra_Kupca,Datum_Storitve,Knjizenje,Znesek,Znese_z_DDV,Fakturiral,Izvajalec
4.088,30.190,553.393,9. 10. 2014,1,"8,00","9,76",063,038
4.089,31.131,553.404,15. 10. 2014,1,"23,00","28,06",063,001
4.090,37.790,553.449,3. 12. 2014,1,"20,00","24,40",063,007
4.091,40.097,553.450,18. 12. 2014,1,"23,00","28,06",063,027
4.092,30.263,553.481,8. 10. 2014,1,"14,00","17,08",063,015
4.093,34.511,553.500,6. 11. 2014,1,"10,00","12,20",063,022
4.094,34.208,553.501,4. 11. 2014,1,"9,00","10,98",107,022
4.095,34.900,553.507,12. 11. 2014,1,"23,00","28,06",063,024
4.096,33.542,553.509,10. 11. 2014,0,"23,00","28,06",037,022
4.097,31.477,553.539,22. 10. 2014,0,"23,00","28,06",037,028
4.098,34.213,553.547,13. 11. 2014,0,"23,00","28,06",037,009
4.099,34.050,553.548,4. 11. 2014,1,"20,00","24,40",063,031
4.100,31.445,553.559,22. 10. 2014,0,"23,00","28,06",037,001
4.101,32.825,553.571,3. 11. 2014,0,"20,00","24,40",037,022
4.102,34.164,553.587,6. 11. 2014,1,"8,00","9,76",063,007
4.103,33.240,553.588,6. 11. 2014,0,"23,00","28,06",037,024
4.104,33.128,553.596,3. 11. 2014,1,"23,00","28,06",063,028
4.105,40.743,553.611,23. 12. 2014,1,"10,00","12,20",107,001
4.106,39.328,553.630,15. 12. 2014,0,"77,00","93,94",037,075
4.107,831,553.631,14. 1. 2015,0,"37,00","45,14",037,022
4.108,34.627,553.639,11. 11. 2014,1,"37,00","45,14",063,022
4.109,535,553.642,6. 1. 2015,1,"37,00","45,14",063,021
4.110,31.585,553.661,23. 10. 2014,0,"11,00","13,42",037,075
4.111,32.235,553.664,23. 10. 2014,1,"11,00","13,42",063,075
4.112,32.188,553.667,29. 10. 2014,0,"23,00","28,06",037,005
4.113,36.277,553.673,24. 11. 2014,0,"23,00","28,06",014,021
4.114,40.616,553.675,22. 12. 2014,0,"20,00","24,40",037,022
4.115,37.664,553.678,28. 11. 2014,1,"16,00","19,52",063,022
4.116,11,553.679,5. 1. 2015,0,"37,00","45,14",037,022
4.117,36.110,553.767,18. 11. 2014,1,"10,00","12,20",107,021
4.118,41.030,553.784,24. 12. 2014,1,"26,00","31,72",063,021
4.119,35.754,553.838,20. 11. 2014,1,"16,00","19,52",063,075
4.120,32.876,553.839,27. 10. 2014,1,"26,00","31,72",063,031
4.121,35.658,553.879,20. 11. 2014,0,"32,00","39,04",014,007
4.122,40.926,553.889,27. 12. 2014,0,"32,00","39,04",037,018
4.123,38.285,553.893,5. 12. 2014,0,"20,00","24,40",037,018
4.124,29.926,553.927,2. 10. 2014,0,"6,30","7,69",037,075
4.125,41.047,64.447,23. 12. 2014,1,"25,20","30,74",063,031
4.126,602,553.933,5. 1. 2015,1,"23,00","28,06",063,005
4.127,33.411,553.943,4. 11. 2014,1,"23,00","28,06",063,007
4.128,40.476,553.948,22. 12. 2014,1,"46,00","56,12",107,042
4.129,40.764,553.968,19. 12. 2014,0,"6,30","7,69",037,075
4.130,34.987,553.974,17. 11. 2014,0,"37,00","45,14",014,028
4.131,36.337,554.038,21. 11. 2014,0,"25,20","30,74",014,022
4.132,35.726,554.052,19. 11. 2014,1,"10,00","12,20",063,007
4.133,860,554.053,8. 1. 2015,1,"37,00","45,14",063,027
4.134,41.208,554.055,29. 12. 2014,1,"10,00","12,20",063,027
4.135,38.664,554.058,9. 12. 2014,1,"37,00","45,14",063,027
4.136,34.322,554.059,11. 11. 2014,1,"9,00","10,98",063,027
4.137,38.991,554.110,10. 12. 2014,2,"23,00","28,06",107,075
4.138,40.105,554.113,18. 12. 2014,1,"23,00","28,06",063,027
4.139,684,554.115,14. 1. 2015,0,"23,00","28,06",037,027
4.140,1.244,554.117,16. 1. 2015,0,"26,00","31,72",037,027
4.141,29.401,554.118,2. 10. 2014,0,"37,00","45,14",037,027
4.142,36.268,554.119,21. 11. 2014,0,"37,00","45,14",014,007
4.143,37.709,554.123,3. 12. 2014,0,"20,00","24,40",037,007
4.144,40.431,554.133,22. 12. 2014,1,"23,00","28,06",107,001
4.145,33.322,554.148,6. 11. 2014,0,"23,00","28,06",037,031
4.146,40.700,554.154,23. 12. 2014,0,"23,00","28,06",037,001
4.147,30.182,554.172,9. 10. 2014,1,"10,00","12,20",063,021
4.148,36.481,554.175,25. 11. 2014,1,"37,00","45,14",063,001
4.149,35.201,554.196,18. 11. 2014,1,"23,00","28,06",063,075
4.150,40.895,554.197,15. 12. 2014,0,"6,30","7,69",037,031
4.151,30.732,554.206,13. 10. 2014,2,"23,00","28,06",063,024
4.152,844,554.207,8. 1. 2015,1,"23,00","28,06",063,027
4.153,37.497,554.232,2. 12. 2014,0,"23,00","28,06",037,024
4.154,38.714,554.258,9. 12. 2014,1,"26,00","31,72",063,021
4.155,40.933,554.263,22. 12. 2014,0,"26,00","31,72",037,018
4.156,1.290,554.264,9. 1. 2015,1,"37,00","45,14",063,028
4.157,31.834,554.284,17. 10. 2014,1,"26,00","31,72",063,031
4.158,30.971,554.293,17. 10. 2014,0,"23,00","28,06",037,007
4.159,40.768,554.311,17. 12. 2014,0,"6,30","7,69",037,075
4.160,37.171,554.339,27. 11. 2014,1,"37,00","45,14",108,031
4.161,31.589,554.343,23. 10. 2014,0,"37,00","45,14",037,027
4.162,40.483,554.389,22. 12. 2014,0,"37,00","45,14",037,024
4.163,40.487,554.390,22. 12. 2014,0,"26,00","31,72",037,024
4.164,31.545,554.400,23. 10. 2014,0,"-6,30","-7,69",037,027
4.165,32.122,554.411,29. 10. 2014,0,"26,00","31,72",014,022
4.166,32.123,554.411,29. 10. 2014,0,"10,00","12,20",014,022
4.167,39.324,554.420,15. 12. 2014,1,"23,00","28,06",107,031
4.168,40,554.448,5. 1. 2015,0,"26,00","31,72",037,021
4.169,36.636,554.458,26. 11. 2014,1,"23,00","28,06",063,038
4.170,38.296,554.467,8. 12. 2014,0,"6,30","7,69",037,018
4.171,38.299,554.473,8. 12. 2014,0,"6,30","7,69",037,018
4.172,38.298,554.475,8. 12. 2014,0,"6,30","7,69",037,018
4.173,38.295,554.478,8. 12. 2014,0,"6,30","7,69",037,018
4.174,38.995,554.501,10. 12. 2014,1,"37,00","45,14",107,075
4.175,214,554.502,8. 1. 2015,0,"37,00","45,14",037,022
4.176,40.479,554.504,19. 12. 2014,0,"26,00","31,72",037,022
4.177,37.815,554.507,4. 12. 2014,0,"16,00","19,52",037,022
4.178,38.304,554.527,8. 12. 2014,0,"6,30","7,69",037,018
4.179,36.422,554.529,25. 11. 2014,0,"23,00","28,06",014,038
4.180,41.147,554.583,30. 12. 2014,1,"23,00","28,06",063,027
4.181,30.044,554.597,4. 10. 2014,1,"37,00","45,14",063,008
4.182,34.766,554.604,12. 11. 2014,1,"23,00","28,06",063,007
4.183,30.901,554.625,8. 10. 2014,0,"6,30","7,69",037,001
4.184,39.712,554.646,17. 12. 2014,0,"23,00","28,06",037,005
4.185,417,554.872,12. 1. 2015,0,"26,00","31,72",037,013
4.186,40.485,554.874,22. 12. 2014,0,"37,00","45,14",037,024
4.187,34.395,554.914,10. 11. 2014,0,"6,30","7,69",037,005
4.188,32.629,554.937,29. 10. 2014,0,"23,00","28,06",037,007
4.189,33.984,554.944,4. 11. 2014,1,"53,00","64,66",107,022
4.190,283,554.958,8. 1. 2015,0,"23,00","28,06",037,072
4.191,29.643,554.963,2. 10. 2014,1,"23,00","28,06",063,075
4.192,38.217,554.969,5. 12. 2014,1,"26,00","31,72",107,024
4.193,39.442,554.972,9. 12. 2014,0,"6,30","7,69",037,005
4.194,1.520,554.975,12. 1. 2015,1,"23,00","28,06",063,001
4.195,1.517,554.977,12. 1. 2015,1,"23,00","28,06",063,001
4.196,1.515,554.978,12. 1. 2015,1,"23,00","28,06",063,001
4.197,370,554.979,12. 1. 2015,0,"23,00","28,06",037,001
4.198,298,554.980,9. 1. 2015,0,"23,00","28,06",037,072
4.199,297,554.982,9. 1. 2015,0,"23,00","28,06",037,072
4.200,41.132,554.986,31. 12. 2014,1,"23,00","28,06",063,072
4.201,357,554.987,9. 1. 2015,0,"23,00","28,06",037,072
4.202,40.527,554.990,22. 12. 2014,1,"23,00","28,06",107,072
4.203,299,554.992,9. 1. 2015,0,"23,00","28,06",037,072
4.204,1.296,554.993,5. 1. 2015,1,"23,00","28,06",063,072
4.205,22,554.995,5. 1. 2015,0,"23,00","28,06",037,072
4.206,302,554.996,9. 1. 2015,0,"23,00","28,06",037,072
4.207,23,554.997,5. 1. 2015,0,"23,00","28,06",037,072
4.208,296,554.998,9. 1. 2015,0,"23,00","28,06",037,072
4.209,39.816,555.001,16. 12. 2014,1,"23,00","28,06",063,001
4.210,39.125,555.002,15. 12. 2014,0,"23,00","28,06",037,001
4.211,39.338,555.003,15. 12. 2014,1,"23,00","28,06",107,001
4.212,39.334,555.004,15. 12. 2014,1,"23,00","28,06",107,001
4.213,39.128,555.005,15. 12. 2014,0,"23,00","28,06",037,001
4.214,39.332,555.007,15. 12. 2014,1,"23,00","28,06",107,001
4.215,40.748,555.010,24. 12. 2014,1,"23,00","28,06",107,001
4.216,39.519,555.012,16. 12. 2014,0,"23,00","28,06",037,001
4.217,39.815,555.013,16. 12. 2014,1,"23,00","28,06",063,001
4.218,39.337,555.014,15. 12. 2014,1,"23,00","28,06",107,001
4.219,39.339,555.015,15. 12. 2014,1,"23,00","28,06",107,001
4.220,33.576,555.038,28. 10. 2014,0,"6,30","7,69",037,027
4.221,41.148,555.063,30. 12. 2014,2,"23,00","28,06",063,027
4.222,25,555.074,5. 1. 2015,0,"23,00","28,06",037,072
4.223,33.361,555.081,7. 11. 2014,0,"53,00","64,66",037,075
4.224,848,555.093,14. 1. 2015,0,"23,00","28,06",037,007
4.225,38.097,555.102,2. 12. 2014,0,"23,00","28,06",037,018
4.226,647,555.121,5. 1. 2015,1,"23,00","28,06",063,028
4.227,37.543,555.210,2. 12. 2014,0,"37,00","45,14",037,013
4.228,40.613,555.225,19. 12. 2014,0,"37,00","45,14",037,022
4.229,34.049,555.278,7. 11. 2014,1,"53,00","64,66",063,031
4.230,31.595,555.288,23. 10. 2014,0,"37,00","45,14",037,005
4.231,30.843,555.417,10. 10. 2014,1,"37,00","45,14",063,026
4.232,29.859,555.451,6. 10. 2014,1,"30,00","36,60",063,038
4.233,30.844,555.453,10. 10. 2014,1,"20,00","24,40",063,026
4.234,30.831,555.461,9. 10. 2014,1,"26,00","31,72",063,026
4.235,30.027,555.473,3. 10. 2014,1,"14,00","17,08",063,015
4.236,29.965,555.486,6. 10. 2014,1,"14,00","17,08",063,015
4.237,31.345,555.488,17. 10. 2014,1,"20,00","24,40",063,015
4.238,30.852,555.500,11. 10. 2014,1,"11,60","14,15",063,026
4.239,30.841,555.507,10. 10. 2014,1,"26,00","31,72",063,026
4.240,31.223,555.514,20. 10. 2014,1,"25,00","30,50",063,038
4.241,29.883,555.520,3. 10. 2014,1,"23,00","28,06",063,026
4.242,36.157,555.536,24. 11. 2014,1,"23,00","28,06",107,028
4.243,38.478,555.537,9. 12. 2014,0,"37,00","45,14",037,013
4.244,33.451,555.574,4. 11. 2014,1,"20,00","24,40",063,028
4.245,37.250,555.592,13. 11. 2014,0,"6,30","7,69",037,075
4.246,38.559,555.630,10. 12. 2014,0,"26,00","31,72",037,008
4.247,38.864,555.665,12. 12. 2014,0,"37,00","45,14",037,007
4.248,31.541,555.669,16. 10. 2014,2,"23,00","28,06",063,075
4.249,40.019,555.672,18. 12. 2014,0,"23,00","28,06",037,042
4.250,29.776,555.687,6. 10. 2014,0,"23,00","28,06",037,075
4.251,40.573,555.688,16. 12. 2014,0,"6,30","7,69",037,042
4.252,33.795,555.706,12. 11. 2014,0,"23,00","28,06",037,024
4.253,36.179,555.708,24. 11. 2014,1,"25,00","30,50",107,076
4.254,36.497,555.718,25. 11. 2014,1,"37,00","45,14",063,027
4.255,843,555.719,14. 1. 2015,0,"14,00","17,08",037,007
4.256,35.609,555.720,19. 11. 2014,0,"23,00","28,06",014,018
4.257,36.957,555.721,26. 11. 2014,0,"23,00","28,06",037,018
4.258,31.370,555.724,22. 10. 2014,0,"23,00","28,06",037,024
4.259,30.258,555.731,8. 10. 2014,1,"10,00","12,20",063,015
4.260,658,555.737,5. 1. 2015,1,"23,00","28,06",063,001
4.261,1.483,555.738,7. 1. 2015,0,"6,30","7,69",037,001
4.262,34.901,555.740,12. 11. 2014,1,"23,00","28,06",063,024
4.263,36.217,555.741,25. 11. 2014,0,"23,00","28,06",014,018
4.264,533,555.747,6. 1. 2015,1,"26,00","31,72",063,021
4.265,35.131,555.751,18. 11. 2014,0,"37,00","45,14",014,021
4.266,1.814,555.773,21. 1. 2015,0,"46,00","56,12",037,007
4.267,37.174,555.776,28. 11. 2014,1,"26,00","31,72",108,042
4.268,35.053,555.788,14. 11. 2014,0,"23,00","28,06",014,018
4.269,35.050,555.789,14. 11. 2014,0,"23,00","28,06",014,018
4.270,34.720,555.791,11. 11. 2014,2,"23,00","28,06",107,024
4.271,33.796,555.795,12. 11. 2014,0,"23,00","28,06",037,024
4.272,36.207,555.799,24. 11. 2014,0,"23,00","28,06",014,018
4.273,1.017,555.859,7. 1. 2015,1,"23,00","28,06",063,001
4.274,1.510,555.860,12. 1. 2015,1,"23,00","28,06",063,001
4.275,1.186,555.861,9. 1. 2015,1,"23,00","28,06",063,001
4.276,587,555.875,5. 1. 2015,1,"26,00","31,72",063,007
4.277,41.038,555.877,22. 12. 2014,1,"23,00","28,06",063,031
4.278,31.533,555.897,16. 10. 2014,1,"20,00","24,40",063,015
4.279,29.654,555.901,2. 10. 2014,1,"14,00","17,08",063,015
4.280,1.250,555.913,16. 1. 2015,0,"23,00","28,06",037,001
4.281,1.651,555.921,16. 1. 2015,1,"23,00","28,06",063,001
4.282,868,555.924,15. 1. 2015,0,"23,00","28,06",037,001
4.283,869,555.929,15. 1. 2015,0,"23,00","28,06",037,001
4.284,35.418,555.942,19. 11. 2014,1,"23,00","28,06",063,042
4.285,30.508,555.945,13. 10. 2014,1,"37,00","45,14",063,007
4.286,39.912,555.947,17. 12. 2014,2,"37,00","45,14",107,007
4.287,586,555.948,5. 1. 2015,1,"37,00","45,14",063,007
4.288,40.782,555.949,23. 12. 2014,1,"37,00","45,14",107,007
4.289,39.671,555.950,17. 12. 2014,0,"26,00","31,72",037,007
4.290,39.911,555.952,17. 12. 2014,1,"15,00","18,30",107,007
4.291,583,555.953,5. 1. 2015,2,"20,00","24,40",063,007
4.292,40.413,555.957,22. 12. 2014,0,"26,00","31,72",037,007
4.293,39.365,555.958,15. 12. 2014,1,"14,00","17,08",107,027
4.294,40.408,555.959,22. 12. 2014,0,"16,00","19,52",037,007
4.295,39.915,555.961,17. 12. 2014,1,"20,00","24,40",107,007
4.296,575,555.963,6. 1. 2015,1,"37,00","45,14",063,007
4.297,41.107,555.966,24. 12. 2014,1,"10,00","12,20",063,007
4.298,39.350,555.971,15. 12. 2014,1,"26,00","31,72",107,007
4.299,40.409,555.975,22. 12. 2014,0,"37,00","45,14",037,007
4.300,40.391,555.982,22. 12. 2014,1,"10,00","12,20",107,007
4.301,1.293,555.984,10. 1. 2015,1,"20,00","24,40",063,041
4.302,40.947,555.987,24. 12. 2014,0,"20,00","24,40",037,007
4.303,581,555.990,5. 1. 2015,1,"23,00","28,06",063,007
4.304,39.113,555.993,10. 12. 2014,1,"20,00","24,40",107,007
4.305,39.647,555.994,16. 12. 2014,1,"16,00","19,52",063,007
4.306,39.860,555.997,18. 12. 2014,1,"37,00","45,14",063,007
4.307,39.874,556.001,18. 12. 2014,1,"26,00","31,72",063,007
4.308,254,556.006,10. 1. 2015,0,"37,00","45,14",037,041
4.309,570,556.013,6. 1. 2015,1,"16,00","19,52",063,007
4.310,30.422,556.017,6. 10. 2014,1,"20,00","24,40",063,007
4.311,39.913,556.019,17. 12. 2014,1,"16,00","19,52",107,007
4.312,40.411,556.021,22. 12. 2014,0,"39,00","47,58",037,007
4.313,959,556.024,7. 1. 2015,1,"26,00","31,72",063,007
4.314,40.390,556.025,22. 12. 2014,1,"9,00","10,98",107,007
4.315,40.389,556.030,22. 12. 2014,1,"37,00","45,14",107,007
4.316,34.157,556.048,6. 11. 2014,1,"14,00","17,08",063,007
4.317,31.335,556.051,17. 10. 2014,2,"23,00","28,06",063,075
4.318,34.801,556.073,10. 11. 2014,1,"23,00","28,06",107,031
4.319,35.166,556.076,10. 11. 2014,0,"6,30","7,69",014,075
4.320,34.812,556.079,10. 11. 2014,1,"23,00","28,06",107,031
4.321,35.406,556.092,19. 11. 2014,1,"20,00","24,40",063,008
4.322,30.564,556.098,10. 10. 2014,1,"8,00","9,76",063,038
4.323,34.280,556.108,13. 11. 2014,0,"23,00","28,06",037,018
4.324,37.279,556.113,1. 12. 2014,1,"23,00","28,06",063,028
4.325,37.362,556.114,2. 12. 2014,1,"23,00","28,06",107,028
4.326,37.364,556.116,2. 12. 2014,1,"23,00","28,06",107,028
4.327,31.943,556.119,21. 10. 2014,1,"23,00","28,06",063,007
4.328,30.188,556.142,9. 10. 2014,1,"25,00","30,50",063,038
4.329,1.817,556.170,17. 1. 2015,0,"20,00","24,40",037,018
4.330,39.589,556.171,13. 11. 2014,0,"6,30","7,69",037,028
4.331,33.891,556.172,12. 11. 2014,0,"10,00","12,20",037,013
4.332,35.082,556.188,14. 11. 2014,1,"23,00","28,06",107,005
4.333,35.432,556.188,18. 11. 2014,1,"11,60","14,15",063,005
4.334,1.188,556.193,9. 1. 2015,2,"23,00","28,06",063,001
4.335,1.187,556.194,9. 1. 2015,1,"23,00","28,06",063,001
4.336,369,556.196,12. 1. 2015,0,"23,00","28,06",037,001
4.337,30.870,556.217,13. 10. 2014,1,"37,00","45,14",063,015
4.338,40.630,556.260,23. 12. 2014,0,"53,00","64,66",037,007
4.339,40.412,556.261,22. 12. 2014,0,"37,00","45,14",037,007
4.340,29.892,556.267,6. 10. 2014,1,"23,00","28,06",063,026
4.341,29.890,556.272,6. 10. 2014,1,"37,00","45,14",063,026
4.342,29.769,556.274,6. 10. 2014,0,"10,00","12,20",037,026
4.343,32.711,556.276,24. 10. 2014,1,"41,00","50,02",063,007
4.344,32.484,556.289,21. 10. 2014,0,"6,30","7,69",037,021
4.345,35.228,556.290,15. 11. 2014,1,"37,00","45,14",063,022
4.346,30.838,556.304,9. 10. 2014,1,"37,00","45,14",063,026
4.347,39.135,556.307,12. 12. 2014,1,"26,00","31,72",107,007
4.348,29.879,556.330,3. 10. 2014,1,"37,00","45,14",063,026
4.349,29.903,556.339,8. 10. 2014,0,"16,00","19,52",037,038
4.350,33.595,556.353,29. 10. 2014,1,"37,00","45,14",107,021
4.351,29.917,556.373,8. 10. 2014,0,"23,00","28,06",037,001
4.352,157,556.409,7. 1. 2015,0,"23,00","28,06",037,001
4.353,1.788,556.414,6. 1. 2015,0,"6,30","7,69",037,021
4.354,1.828,556.416,21. 1. 2015,0,"23,00","28,06",037,005
4.355,39.098,556.417,11. 12. 2014,1,"23,00","28,06",107,042
4.356,40.139,556.451,17. 12. 2014,1,"20,00","24,40",107,075
4.357,29.916,556.454,8. 10. 2014,0,"23,00","28,06",037,001
4.358,30.191,556.455,8. 10. 2014,1,"23,00","28,06",063,001
4.359,33.073,556.495,27. 10. 2014,1,"23,00","28,06",107,028
4.360,38.041,556.504,4. 12. 2014,1,"37,00","45,14",063,027
4.361,32.547,556.530,27. 10. 2014,1,"23,00","28,06",063,008
4.362,41.140,556.538,30. 12. 2014,1,"20,00","24,40",063,075
4.363,35.043,556.547,17. 11. 2014,0,"23,00","28,06",014,013
4.364,33.382,556.567,5. 11. 2014,1,"20,00","24,40",063,008
4.365,37.553,556.616,1. 12. 2014,1,"37,00","45,14",063,042
4.366,37.695,556.624,3. 12. 2014,0,"37,00","45,14",037,013
4.367,1.555,556.626,12. 1. 2015,2,"23,00","28,06",063,021
4.368,33.723,556.632,30. 10. 2014,1,"20,00","24,40",063,021
4.369,30.028,556.648,3. 10. 2014,1,"14,00","17,08",063,015
4.370,29.967,556.651,6. 10. 2014,1,"26,00","31,72",063,015
4.371,38.459,556.702,9. 12. 2014,0,"46,00","56,12",037,005
4.372,36.107,556.713,18. 11. 2014,1,"20,00","24,40",107,021
4.373,36.108,556.713,18. 11. 2014,1,"20,00","24,40",107,021
4.374,37.039,556.713,18. 11. 2014,1,"-20,00","-24,40",014,021
4.375,39.692,556.757,16. 12. 2014,1,"23,00","28,06",063,072
4.376,41.211,556.782,29. 12. 2014,2,"37,00","45,14",063,027
4.377,34.805,556.798,10. 11. 2014,1,"37,00","45,14",107,031
4.378,41.039,556.850,22. 12. 2014,1,"9,00","10,98",063,031
4.379,38.103,556.874,1. 12. 2014,0,"23,00","28,06",037,018
4.380,37.921,556.881,4. 12. 2014,2,"23,00","28,06",063,005
4.381,29.900,556.887,7. 10. 2014,1,"10,00","12,20",063,026
4.382,39.490,556.902,16. 12. 2014,0,"37,00","45,14",037,013
4.383,37.691,556.903,3. 12. 2014,0,"10,00","12,20",037,013
4.384,824,556.916,15. 1. 2015,0,"14,35","17,51",037,005
4.385,33.044,556.922,27. 10. 2014,1,"11,60","14,15",107,005
4.386,40.147,556.929,18. 12. 2014,1,"23,00","28,06",063,042
4.387,38.082,556.946,4. 12. 2014,1,"20,00","24,40",063,075
4.388,39.823,556.947,12. 12. 2014,1,"10,00","12,20",063,022
4.389,36.860,556.954,28. 11. 2014,1,"32,00","39,04",107,007
4.390,37.859,556.960,4. 12. 2014,0,"23,00","28,06",037,013
4.391,812,556.983,8. 1. 2015,1,"37,00","45,14",063,022
4.392,37.672,556.984,28. 11. 2014,1,"16,00","19,52",063,022
4.393,31.109,556.986,14. 10. 2014,1,"16,00","19,52",063,076
4.394,39.661,557.018,16. 12. 2014,2,"23,00","28,06",063,005
4.395,892,557.045,8. 1. 2015,1,"23,00","28,06",063,001
4.396,891,557.046,8. 1. 2015,2,"23,00","28,06",063,001
4.397,32.239,557.053,23. 10. 2014,1,"37,00","45,14",063,005
4.398,32.697,557.110,3. 11. 2014,0,"23,00","28,06",037,009
4.399,32.003,557.114,20. 10. 2014,1,"23,00","28,06",063,021
4.400,36.668,557.118,27. 11. 2014,1,"26,00","31,72",063,001
4.401,36.664,557.173,27. 11. 2014,2,"23,00","28,06",063,001
4.402,1.803,557.195,21. 1. 2015,0,"23,00","28,06",037,009
4.403,31.455,557.201,22. 10. 2014,0,"37,00","45,14",037,005
4.404,37.862,557.221,4. 12. 2014,0,"10,00","12,20",037,013
4.405,39.551,557.224,9. 12. 2014,0,"23,00","28,06",037,018
4.406,36.204,557.295,19. 11. 2014,1,"11,60","14,15",063,024
4.407,35.735,557.297,19. 11. 2014,1,"23,00","28,06",063,007
4.408,40.734,557.298,24. 12. 2014,1,"23,00","28,06",107,027
4.409,39.964,557.311,18. 12. 2014,0,"37,00","45,14",037,005
4.410,37.346,557.338,2. 12. 2014,1,"10,00","12,20",107,027
4.411,33.001,557.341,28. 10. 2014,1,"10,00","12,20",107,027
4.412,32.111,557.345,29. 10. 2014,0,"37,00","45,14",014,028
4.413,33.211,557.400,6. 11. 2014,0,"37,00","45,14",037,001
4.414,501,557.424,13. 1. 2015,0,"23,00","28,06",037,075
4.415,31.756,557.429,22. 10. 2014,1,"23,00","28,06",063,031
4.416,33.889,557.473,12. 11. 2014,0,"26,00","31,72",037,013
4.417,36.993,557.518,29. 11. 2014,0,"23,00","28,06",037,018
4.418,37.857,557.569,4. 12. 2014,0,"10,00","12,20",037,013
4.419,37.858,557.570,4. 12. 2014,0,"9,00","10,98",037,013
4.420,38.119,557.573,5. 12. 2014,0,"26,00","31,72",037,013
4.421,39.867,557.582,18. 12. 2014,1,"26,00","31,72",063,007
4.422,32.838,557.601,4. 11. 2014,0,"6,30","7,69",037,075
4.423,29.895,557.619,7. 10. 2014,1,"20,00","24,40",063,026
4.424,29.894,557.620,7. 10. 2014,1,"37,00","45,14",063,026
4.425,29.767,557.623,7. 10. 2014,0,"37,00","45,14",037,026
4.426,37.636,557.631,27. 11. 2014,1,"11,00","13,42",063,022
4.427,29.891,557.635,6. 10. 2014,1,"23,00","28,06",063,026
4.428,30.847,557.636,10. 10. 2014,1,"23,00","28,06",063,026
4.429,31.440,557.638,13. 10. 2014,0,"6,30","7,69",037,001
4.430,35.730,557.657,19. 11. 2014,1,"26,00","31,72",063,007
4.431,30.189,557.689,9. 10. 2014,1,"25,00","30,50",063,038
4.432,1.642,557.705,15. 1. 2015,1,"23,00","28,06",063,009
4.433,29.882,557.725,3. 10. 2014,1,"37,00","45,14",063,026
4.434,31.189,557.731,14. 10. 2014,1,"20,00","24,40",063,015
4.435,30.548,557.734,10. 10. 2014,1,"37,00","45,14",063,015
4.436,33.920,557.768,3. 11. 2014,0,"6,30","7,69",037,075
4.437,39.391,557.771,15. 12. 2014,1,"23,00","28,06",107,042
4.438,31.594,557.803,23. 10. 2014,0,"37,00","45,14",037,005
4.439,29.805,557.811,7. 10. 2014,0,"37,00","45,14",037,024
4.440,39.126,557.856,10. 12. 2014,1,"23,00","28,06",107,028
4.441,32.455,557.862,17. 10. 2014,0,"6,30","7,69",037,028
4.442,39.038,557.912,11. 12. 2014,1,"20,00","24,40",107,027
4.443,39.241,557.916,12. 12. 2014,1,"20,00","24,40",107,027
4.444,39.040,557.917,11. 12. 2014,1,"23,00","28,06",107,027
4.445,35.587,557.918,20. 11. 2014,0,"20,00","24,40",014,024
4.446,34.479,557.919,14. 11. 2014,0,"26,00","31,72",014,027
4.447,158,557.922,7. 1. 2015,0,"10,00","12,20",037,027
4.448,34.229,557.950,5. 11. 2014,1,"23,00","28,06",107,028
4.449,37.872,557.956,3. 12. 2014,1,"16,00","19,52",063,021
4.450,40.754,557.958,23. 12. 2014,1,"23,00","28,06",107,021
4.451,399,557.970,12. 1. 2015,0,"23,00","28,06",037,075
4.452,34.655,557.997,13. 11. 2014,1,"16,00","19,52",063,001
4.453,41.250,558.009,23. 12. 2014,0,"6,30","7,69",037,072
4.454,34.275,558.057,11. 11. 2014,0,"23,00","28,06",037,018
4.455,33.524,558.063,10. 11. 2014,0,"23,00","28,06",037,018
4.456,30.865,558.091,13. 10. 2014,1,"16,00","19,52",063,015
4.457,31.443,558.105,15. 10. 2014,0,"6,30","7,69",037,001
4.458,32.898,558.105,28. 10. 2014,2,"23,00","28,06",063,001
4.459,33.621,558.105,11. 11. 2014,0,"-6,30","-7,69",037,001
4.460,35.008,558.138,6. 11. 2014,0,"6,30","7,69",014,075
4.461,35.753,558.138,20. 11. 2014,1,"23,00","28,06",063,075
4.462,39.212,558.158,12. 12. 2014,1,"37,00","45,14",107,028
4.463,31.359,558.159,16. 10. 2014,1,"16,00","19,52",063,007
4.464,29.807,558.161,7. 10. 2014,0,"11,60","14,15",037,024
4.465,32.369,64.085,27. 10. 2014,1,"16,00","19,52",063,064
4.466,30.147,558.170,10. 10. 2014,0,"23,00","28,06",037,001
4.467,373,558.176,12. 1. 2015,0,"23,00","28,06",037,027
4.468,34.718,558.177,11. 11. 2014,1,"16,00","19,52",107,024
4.469,37.528,558.179,2. 12. 2014,0,"26,00","31,72",037,013
4.470,33.156,558.227,29. 10. 2014,1,"16,00","19,52",063,022
4.471,33.412,558.230,4. 11. 2014,1,"23,00","28,06",063,007
4.472,36.410,558.237,25. 11. 2014,1,"37,00","45,14",063,007
4.473,30.003,558.243,8. 10. 2014,0,"26,00","31,72",037,026
4.474,374,558.272,12. 1. 2015,0,"23,00","28,06",037,027
4.475,1.103,558.273,12. 1. 2015,1,"25,00","30,50",063,027
4.476,39.130,558.313,15. 12. 2014,0,"23,00","28,06",037,021
